model,set,clip,peak
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_001_af_nicole.wav,0.988281
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_002_af_sarah.wav,0.857031
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_003_af_sky.wav,0.191406
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_004_af_heart.wav,0.737500
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_005_af_nova.wav,0.996094
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_006_am_adam.wav,0.951562
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_007_am_michael.wav,0.256250
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_008_am_eric.wav,0.565625
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_009_am_liam.wav,0.191406
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_010_am_onyx.wav,0.191406
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_011_am_puck.wav,0.191406
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_012_bf_emma.wav,0.191406
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_013_bf_lily.wav,0.191406
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_014_bf_alice.wav,0.191406
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_015_bm_george.wav,0.191406
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_016_bm_lewis.wav,0.732031
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_017_bm_daniel.wav,0.191406
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_018_af_bella.wav,0.745313
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_019_af_nicole.wav,0.269531
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_020_af_sarah.wav,0.686719
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_021_af_sky.wav,0.575000
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_022_af_heart.wav,0.490625
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_023_af_nova.wav,0.191406
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_024_am_adam.wav,0.471094
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_025_am_michael.wav,0.191406
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_026_am_eric.wav,0.201563
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_027_am_liam.wav,0.191406
